0,1,2,3,4,5,6,7,8,9,10,11,12
133189,804,1238,534,498,46,261,478,322,557,451,153,52
221,5923,0,0,0,0,0,0,0,0,0,0,0
246,0,5898,0,0,0,0,0,0,0,0,0,0
110,0,0,3305,0,0,0,0,0,0,0,0,0
823,0,0,0,4866,0,0,0,0,0,0,0,0
635,0,0,0,0,4063,0,0,1,0,0,0,0
292,0,0,0,0,0,5356,1,0,0,0,0,0
139,0,0,0,0,0,1,4979,0,0,0,0,0
502,0,0,0,0,0,0,0,5296,0,0,0,0
322,0,0,0,0,0,0,0,0,4503,0,0,0
336,0,0,0,0,0,0,0,0,0,2654,15,0
290,0,0,0,0,0,0,0,0,0,24,958,0
475,0,0,0,0,0,0,0,0,0,8,3,353
